x,y
0.263692,0.501673
0.270641,0.489592
0.277653,0.477486
0.284725,0.46536
0.291856,0.45322
0.299044,0.441069
0.306287,0.428912
0.313582,0.416755
0.320927,0.4046
0.328321,0.392454
0.33576,0.38032
0.343243,0.368202
0.350767,0.356104
0.358328,0.344032
0.365935,0.331963
0.373538,0.319952
0.3811,0.308045
0.388642,0.296208
0.396197,0.284391
0.403754,0.27261
0.411334,0.260834
0.41892,0.249092
0.426523,0.237362
0.434139,0.225668
0.441775,0.214035
0.449442,0.202486
0.457146,0.191046
0.464888,0.179729
0.472667,0.168545
0.48048,0.157499
0.488325,0.146596
0.496198,0.135837
0.504095,0.125227
0.512011,0.114767
0.519941,0.10446
0.527881,0.094308
0.535825,0.0843136
0.543766,0.0744793
0.551699,0.0648079
0.559618,0.055302
0.567515,0.0459647
0.575383,0.0367989
0.583216,0.027808
0.590992,0.01901
0.598143,0.0110291
0.598925,0.0101668
0.600848,0.00806577
0.603952,0.00469253
0.608278,0.0
0.00493714,1.00002
0.00570609,0.99864
0.00657764,0.997077
0.00755184,0.995326
0.00862874,0.993385
0.00980842,0.991253
0.011091,0.988927
0.0124765,0.986406
0.013965,0.983689
0.0155568,0.980772
0.0172519,0.977654
0.0190505,0.974332
0.0209527,0.970805
0.0229587,0.96707
0.0250686,0.963124
0.0272828,0.958966
0.0296012,0.954593
0.0320243,0.950004
0.034552,0.945196
0.0371846,0.940167
0.0399223,0.934917
0.0427652,0.929444
0.0457136,0.923748
0.0487674,0.917826
0.0519268,0.91168
0.055192,0.905309
0.0585629,0.898713
0.0620395,0.891895
0.0656219,0.884854
0.0693099,0.877593
0.0731035,0.870115
0.0770025,0.862421
0.0810066,0.854515
0.0851157,0.846401
0.0893293,0.838083
0.0936471,0.829564
0.0980686,0.82085
0.102593,0.811946
0.107221,0.802856
0.11195,0.793586
0.11678,0.784142
0.121711,0.774529
0.126742,0.764753
0.131871,0.75482
0.137098,0.744736
0.142422,0.734507
0.147841,0.724138
0.153355,0.713636
0.158962,0.703007
0.164661,0.692256
0.170451,0.681389
0.17633,0.670412
0.182298,0.65933
0.188351,0.648149
0.19449,0.636875
0.200712,0.625513
0.207017,0.614068
0.213402,0.602546
0.219865,0.590953
0.226407,0.579292
0.233023,0.56757
0.239714,0.555792
0.246477,0.543963
0.253311,0.532087
0.260214,0.52017
0.267183,0.508218
0.274218,0.496233
0.281317,0.484222
0.288477,0.47219
0.295697,0.46014
0.302975,0.448078
0.310308,0.436008
0.317695,0.423935
0.325134,0.411863
0.332622,0.399796
0.340157,0.387739
0.347737,0.375696
0.355358,0.363671
0.363019,0.351668
0.37072,0.339677
0.378406,0.327762
0.386054,0.315947
0.39368,0.304206
0.401324,0.292477
0.408969,0.28079
0.416644,0.2691
0.42432,0.257452
0.43202,0.245809
0.439733,0.234194
0.447449,0.222614
0.455177,0.21106
0.46291,0.199563
0.47066,0.188143
0.478436,0.176827
0.48624,0.165635
0.494073,0.15458
0.501932,0.143669
0.509813,0.132908
0.517713,0.1223
0.525627,0.111848
0.53355,0.101555
0.541476,0.0914234
0.549401,0.0814562
0.557317,0.071656
0.565219,0.0620254
0.5731,0.0525674
0.580952,0.043285
0.588769,0.0341814
0.596529,0.0252748
0.603669,0.0171966
0.604478,0.0162932
0.606414,0.0141545
0.60952,0.0107517
0.61384,0.00604258
0.619392,0.0
0.00646094,1.00003
0.00733871,0.99848
0.00831993,0.996749
0.00940466,0.994829
0.010593,0.992721
0.0118851,0.990421
0.013281,0.987929
0.0147809,0.985242
0.016385,0.982359
0.0180934,0.979277
0.0199063,0.975995
0.0218239,0.972509
